prefix_len,encoding,attribute,group,group_n,metric,disparity,violation_80pct,severity,harm_dir,small_support
10,complex,Act6,A02,68,FNR,0.0,True,severe,lower,False
10,complex,Act6,A07,182,FNR,0.1115056818181818,True,severe,lower,False
10,complex,Act6,A09,122,FNR,0.1649159663865546,True,severe,lower,False
10,complex,Act7,A09,187,FNR,1.4404761904761905,True,high,higher,False
10,complex,Act8,A02,65,FNR,10.0,True,severe,higher,False
10,complex,Act8,A07,109,FNR,10.0,True,severe,higher,False
10,complex,Act8,A09,97,FNR,10.0,True,severe,higher,False
10,complex,Act9,A01,198,FNR,1.4083333333333334,True,high,higher,False
10,complex,Act9,A02,13,FNR,6.145454545454546,True,severe,higher,True
10,complex,Act9,A07,10,FNR,0.0,True,severe,lower,True
10,complex,Act9,A09,16,FNR,4.828571428571428,True,severe,higher,True
10,complex,Act10,A01,128,FNR,10.0,True,severe,higher,False
10,complex,Act10,A04,158,FNR,10.0,True,severe,higher,False
10,complex,Res1,Front Desk,286,FNR,1.5776892430278884,True,severe,higher,False
10,complex,Res2,HR-pro,167,FNR,1.6689342403628118,True,severe,higher,False
10,complex,Res3,HR-pro,105,FNR,7.219101123595506,True,severe,higher,False
10,complex,Res3,Senior Partner,189,FNR,2.2810650887573964,True,severe,higher,False
10,complex,Res4,HR-pro,109,FNR,1.6527777777777777,True,severe,higher,False
10,complex,Res4,Senior Partner,196,FNR,2.1915285451197053,True,severe,higher,False
10,complex,Res5,HR-pro,61,FNR,16.272727272727273,True,severe,higher,False
10,complex,Res5,deepResearch Inc.,146,FNR,6.336283185840708,True,severe,higher,False
10,complex,Res8,HR-dummy,26,FNR,0.0,True,severe,lower,True
10,complex,Res8,HR-pro and Senior Partner,222,FNR,0.0,True,severe,lower,False
10,complex,Res8,Senior Partner,60,FNR,0.0,True,severe,lower,False
10,complex,Res9,Coding Interviewer,39,FNR,4.096969696969698,True,severe,higher,False
10,complex,Res9,HR-dummy,82,FNR,2.331034482758621,True,severe,higher,False
10,complex,Res9,Senior Partner,116,FNR,0.786046511627907,True,moderate,lower,False
10,complex,Res10,HR-dummy,56,FNR,10.0,True,severe,higher,False
10,complex,Res10,HR-pro and Senior Partner,158,FNR,10.0,True,severe,higher,False
10,complex,Res10,Senior Partner,72,FNR,10.0,True,severe,higher,False
